id,name
1,"Normal peripheral vision"
2,"Suspicious"
3,"Suspicious consistent with glaucoma"
4,"Suspicious inconsistent with glaucoma"
5,"Definite consistent with glaucoma"
6,"Definite inconsistent with glaucoma"
7,"Glaucoma loss not threatening fixation (no defects within 5 deg of fixation)"
8,"Advanced glaucomatous loss with fixation threatened or involved (defects within 5 deg of fixation)"
9,"Quadrantonopia"
10,"Bitemporal hemianopia"
11,"Homonymous hemianopia"
12,"Binasal hemianopia"
13,"Rim artefact"
14,"Cloverleaf"
15,"Progression Uninterpretable"
16,"Other"
